Image,Arena,City,State,Team,Conference,Capacity,Opened
,Fredrick C. Hobdy Assembly Center,Grambling,LA,Grambling,SWAC,"7,500",2007
,Williams Assembly Center,Jackson,MS,Jackson State,SWAC,"8,000",1981
,Harrison HPER Complex,Itta Bena,MS,Mississippi Valley State,SWAC,"5,000",1970
,William J. Nicks Building,Prairie View,TX,Prairie View A&M,SWAC,"6,500",1968
,F. G. Clark Center,Baton Rouge,LA,Southern,SWAC,"7,500",1975
,Health and Physical Education Arena,Houston,TX,Texas Southern,SWAC,"8,100",1989
,McCarthey Athletic Center,Spokane,WA,Gonzaga,West Coast,"6,000",2004
,Gersten Pavilion,Los Angeles,CA,Loyola Marymount,West Coast,"4,156",1981
,Alex G. Spanos Center,Stockton,CA,Pacific,West Coast,"6,150",1981
,Firestone Fieldhouse,Malibu,CA,Pepperdine,West Coast,"3,104",1973
,Chiles Center,Portland,OR,Portland,West Coast,"4,852",1984
,University Credit Union Pavilion,Moraga,CA,Saint Mary's,West Coast,"3,500",1978
,Jenny Craig Pavilion,San Diego,CA,San Diego,West Coast,"5,100",2000
,The Sobrato Center,San Francisco,CA,San Francisco,West Coast,"5,300",1958
,Leavey Center,Santa Clara,CA,Santa Clara,West Coast,"4,500",1975
,Moody Coliseum,Abilene,TX,Abilene Christian,WAC,"4,600",1968
,CBU Events Center,Riverside,CA,California Baptist,WAC,"5,050",2017
,Burns Arena,St. George,UT,Utah Tech,WAC,"4,779",1986
,GCU Arena,Phoenix,AZ,Grand Canyon,WAC,"7,000",2011
,Redhawk Center,Seattle,WA,Seattle,WAC,999,1959
,America First Event Center,Cedar City,UT,Southern Utah,WAC,"5,300",1985
,William R. Johnson Coliseum,Nacogdoches,TX,Stephen F. Austin,WAC,"7,203",1974
,Wisdom Gymnasium,Stephenville,TX,Tarleton,WAC,"3,000",1970
,UCCU Center,Orem,UT,Utah Valley,WAC,"8,500",1996
,College Park Center,Arlington,TX,UT Arlington,WAC,"7,000",2012
,UTRGV Fieldhouse,Edinburg,TX,UTRGV,WAC,"2,500",1969
